AceleracionX,AceleracionY,AceleracionX,Coor1,Coor2
-0.05700684,0.0177002,1.01001,None,None
-0.2232666,0.04003906,0.9925537,None,None
-0.1374512,0.02941895,1.019897,None,None
-0.06054688,0.1312256,1.154907,None,None
-0.03955078,0.1730957,0.8151855,None,None
-0.07995605,0.06396484,1.415649,None,None
-0.08044434,0.06774902,0.7735596,None,None
-0.510376,0.184082,1.97229,None,None
-0.08666992,0.008422852,0.7740479,None,None
-0.1450195,-0.02502441,0.833252,None,None
0.1223145,0.0390625,1.661255,None,None
0.2480469,-0.04492188,0.7734375,None,None
-0.1174316,0.2113037,1.549683,None,None
-0.1729736,0.1622314,1.014038,None,None
-0.09729004,0.04919434,0.9781494,None,None
-0.09326172,0.1340332,1.136719,None,None
-0.09533691,0.06396484,1.066406,None,None
-0.2022705,0.1781006,1.154907,None,None
-0.2880859,0.104126,1.163818,None,None
-0.2322998,0.1544189,1.180054,None,None
-0.1859131,-0.02038574,1.455078,None,None
-0.1331787,0.09802246,0.980835,None,None
-0.06201172,0.1096191,1.093994,None,None
0.06005859,-0.08898926,-0.2114258,None,None
-0.06713867,-0.01367188,1.013184,None,None
-0.1374512,0.1724854,1.973267,None,None
0.03955078,-0.03991699,0.2589111,None,None
-0.2075195,0.1669922,1.644531,None,None
-0.1535645,0.05981445,0.529541,None,None
0.08422852,0.07556152,1.15979,None,None
-0.1263428,0.0958252,0.9702148,None,None
-0.1490479,0.4466553,0.3803711,None,None
-0.3463135,0.526001,1.50293,None,None
-0.2438965,-0.2399902,0.2921143,None,None
-0.06481934,0.3967285,1.652344,None,None
0.01953125,0.1297607,0.4614258,None,None
-0.286499,-0.6580811,1.213989,None,None
-0.3204346,-0.4350586,0.7069092,None,None
-0.04797363,0.5117188,0.9985352,None,None
0.04455566,0.1939697,1.359375,None,None
-0.04345703,0.836792,1.369141,None,None
-0.2363281,-0.3121338,0.3277588,None,None
-0.3406982,-0.637085,0.50354,None,None
-0.2856445,-0.4676514,1.442993,None,None
-0.2330322,0.5819092,1.469116,None,None
-0.2745361,-0.2080078,0.3519287,None,None
-0.5289307,-0.5114746,1.553345,None,None
-0.07800293,0.4587402,0.6710205,None,None
-0.1564941,0.05432129,0.4512939,None,None
-0.2147217,-0.211792,0.4592285,None,None
-0.2978516,0.6608887,1.067139,None,None
-0.2937012,-0.4367676,0.505249,None,None
0.1855469,0.5795898,1.603271,None,None
0.08251953,-0.05297852,0.354248,None,None
0.2712402,0.003295898,1.516235,None,None
-0.8925781,0.05627441,1.265747,None,None
0.05200195,-0.02050781,0.4266357,None,None
0.2595215,0.08789063,1.046631,None,None
-0.1234131,0.09545898,0.2554932,None,None
0.09936523,0.1547852,1.163696,None,None
-0.2631836,0.1072998,0.336792,None,None
0.1414795,0.1019287,1.626831,None,None
-0.1644287,0.1888428,1.548584,None,None
0.04882813,-0.01965332,0.5230713,None,None
-0.213623,0.0982666,1.451538,None,None
0.4248047,-0.008666992,0.7755127,None,None
-0.4788818,0.1813965,1.437012,None,None
0.2687988,0.02966309,0.6320801,None,None
-0.9017334,0.004394531,1.315918,None,None
0.3179932,0.1052246,1.327148,None,None
-0.1385498,-0.08337402,1.07959,None,None
-0.07092285,0.05224609,0.9912109,None,None
-0.07446289,0.1184082,0.9608154,None,None
-0.9576416,-0.02624512,0.9604492,None,None
-0.9891357,0.001342773,0.9710693,None,None
0.4952393,0.1580811,1.061035,None,None
-0.9649658,-0.0324707,0.9237061,None,None
0.5787354,0.1020508,0.3548584,None,None
0.4038086,0.08190918,1.055664,None,None
-0.09448242,-0.0715332,1.00769,None,None
-0.06018066,0.0168457,1.008545,None,None
-0.06237793,0.01843262,1.010376,None,None
-0.06103516,0.01611328,1.007568,None,None
-0.06274414,0.01550293,1.013672,None,None
-0.06091309,0.01806641,1.008545,None,None
-0.06152344,0.01574707,1.011475,None,None
-0.05981445,0.01525879,1.006958,None,None
-0.06201172,0.0168457,1.008789,None,None
-0.0604248,0.01513672,1.009033,None,None
-0.06140137,0.01489258,1.006348,None,None
-0.06188965,0.01660156,1.008911,None,None
-0.06005859,0.01477051,1.012451,None,None
-0.06237793,0.01818848,1.009155,None,None
-0.06262207,0.01818848,1.009033,None,None
-0.06164551,0.01745605,1.011597,None,None
-0.06311035,0.01452637,1.005981,None,None
-0.05786133,0.01538086,1.005859,None,None
-0.06018066,0.01623535,1.01123,None,None
-0.06115723,0.0168457,1.011353,None,None
-0.06225586,0.01818848,1.009644,None,None
